gene	ESR1_mutant	First_line	Resistant	Second_line	WM-2d	Tam-2d	Fulv-2d	Lted	Lted_Tam-7d	Lted_Fulv-7d	Lted_Palbo-7d	Lted_CDK7i-7d	TamR	TamR_WM-7d	TamR_Fulv-7d	TamR_Palbo-7d	TamR_CDK7i-7d	FulvR	D538G_WM-2d	D538G_RM	neoadj_score	neoadj_pvalue	neoadj_pvalue_BH	neoadj_lasso_est	neoadj_rf_imp	neoadj_class
AHR	0.7709718196392603	-1.0745929941557901	-0.9108503747697694	0.2677692156908844	-0.9887256487406849	-1.3695620544228253	-0.8654912793038602	-0.8688865817837522	0.4610757373139187	0.22998823306040467	0.6492017556763119	1.4485295730578234	-1.0860309393211391	0.0017012385802016583	0.007762771459151663	0.2568855580553179	0.9721489132766556	-0.7776336032044168	-0.5289791220198036	0.7709718196392603	2.37731733004546	0.01744943098954598	0.06324311536312603	0	0	nc
AIRE	0.2300837533080085	0.8971404997860748	0.22072451513583005	0.43799572037634066	1.1834956139178099	0.6635391689763117	0.8443867164641028	0.3734197911462991	0.37264244503875926	0.33768920670836433	0.7380906482255566	1.7383294601434538	-0.12588122625057485	0.35429774497066213	0.5336949300111472	0.29155934730355454	0.35322970506875795	0.4146349805117659	0.4290558392123411	0.2300837533080085	2.846056186573858	0.0044314242557247	0.02095813516822302	0	0	up
AP1	1.2014279905565475	-0.9395976292638725	-1.6090975849045055	0.39952143463194534	-0.4616335123314579	-1.2695700402025454	-1.0875893352576143	-1.3261646303457721	-0.5210193098530886	0.2863077421692741	0.7015000145990178	0.07063711868277528	-2.104624325800199	0.4618548256710461	0.38094957868188595	1.0875357565235366	-0.07338133983232398	-1.396503798567545	-0.13488463509681292	1.2014279905565475	8.400714261094167	4.7628740981209854e-17	5.667820176763973e-15	0	0.00319696969696969	up
APEX1	0.6890781799028778	0.020962639110691406	-0.338062987717896	0.05884759774126846	0.48388201998031916	-0.16853276833752856	-0.2524613343107164	-0.5219401788984168	-0.16884886547959022	0.17076160416545966	0.4848096729084174	2.4166431711049254	-0.4814772600543491	0.08410317780070653	-0.26756329119644545	0.04982328824906279	1.8519527005662517	-0.010771524200922145	-0.05921286767600287	0.6890781799028778	2.0687691784518547	0.03858195015881691	0.10931552544998126	NA	NA	nc
AR	0.17372518857459263	-0.41232145334800774	-0.8454491712999964	0.8418512339094995	-0.17034804051408936	-0.6198300095340687	-0.44678630999586505	-0.5586424241134003	0.051441925959045454	1.4008872368851637	1.8013389996762461	0.51077158201728	-1.5682405417647678	0.42582396749932017	0.204976006781858	1.166639266655363	0.8934362181233908	-0.40946454802182125	-0.2187269167116459	0.17372518857459263	0.8575286269636161	0.3911641820047496	0.5676553974996658	0	0	nc
ARNT	0.43758139335855606	-0.31626642033645536	0.4639141251417947	0.1388546118283969	-0.9180636538099559	-0.3706526542920796	0.33991704709266946	0.5258809612413178	0.04325716574694897	0.4223503797434968	0.6031201796821938	1.2776203768135914	0.4279184713813798	-0.08246174218615572	-0.07625600032960865	-0.07688231168649381	1.4286250336436244	0.4379429428026865	0.16402290600625258	0.43758139335855606	1.791402533160943	0.07324546324569868	0.1797156727059411	NA	NA	nc
ARX	0.25408896876280945	0.3053574221705669	0.15532741833228184	0.2456671098306588	0.24830234344928162	0.12967931086146156	0.5380906122009574	0.0038545444443737753	0.242039673268018	0.27766575421739237	0.33803443349257983	0.9701766470344508	0.1958491640076962	0.05247016657971117	0.2915585636086264	0.27223406781762494	0.04074754470198108	0.26627854654477556	0.008234036968444512	0.25408896876280945	2.845991602953155	0.0044323227036438	0.02095813516822302	NA	NA	up
ASCL1	0.6576659300603398	0.21397247234588113	-0.2285605811147713	0.22136258176189205	0.5068983253908745	0.1276561086305438	0.007362983016225046	-0.4830933237771171	0.2262939979913181	0.18437052597513848	0.4074891228581617	1.7937082256556027	-0.21482772720390694	-0.01778691342883676	0.10855149097022673	0.4192572662053441	1.002899150008475	0.012239307636710224	0.1401525025176229	0.6576659300603398	0.4297897603675172	0.6673537106401024	0.8008666799836064	NA	NA	nc
ATF1	0.3180442000319066	0.4872996883006451	0.22524097866103543	0.12634390703337584	0.7604172350151507	0.25352529178571004	0.4479565381010745	0.2965427208311126	-0.18003686295431265	-0.06600703928434068	-0.08031303701633367	0.8617714403330555	-0.0070948897437229375	0.29884385378384515	0.2884543595110034	0.4971221681603934	0.2974886668863836	0.3862751048957166	0.1967547267225747	0.3180442000319066	4.34072476175672	1.4278584180587162e-5	1.923567755648912e-4	0	0.0018560606060606	up
ATF2	0.36484887822011003	0.9300483744805463	0.5028867797392156	0.43155407194327744	1.5878309536694304	0.25822178403879625	0.9440923857334123	0.9138161044660216	-0.0488808852021026	0.43092665861363705	0.57364262810049	0.48925210872994657	-0.009368703279842738	0.5228017634237098	0.4849099606140914	0.6259243061098388	1.5401052702584366	0.6042129380314679	0.2198914840923959	0.36484887822011003	4.368272278265517	1.2593104504112228e-5	1.7291301184492556e-4	0	0	up
ATF3	1.0592931750021795	1.285022941020671	0.6350223326173665	0.40484684963684436	1.703561755346869	1.0202152783832323	1.1312917893319117	0.5951973774116397	-0.3542980949744379	0.5500708257646408	0.48863709252328447	1.5170292226355848	0.2087638279212919	0.5096458016253065	0.630996686043118	0.6040287868391545	0.34527789336794545	1.101105792519168	0.3829447890682469	1.0592931750021795	2.2113703912649725	0.0270226770445068	0.08352463813756648	NA	NA	nc
