gs_name	gene	species
moghal-2023_DTP-up_microarray	DHRS9	human
moghal-2023_DTP-up_microarray	DKK1	human
moghal-2023_DTP-up_microarray	DNAJA1	human
moghal-2023_DTP-up_microarray	DNAJA2	human
moghal-2023_DTP-up_microarray	DNAJB2	human
moghal-2023_DTP-up_microarray	DNAJC22	human
moghal-2023_DTP-up_microarray	DNM3	human
moghal-2023_DTP-up_microarray	DRD1IP	human
moghal-2023_DTP-up_microarray	DTNBP1	human
moghal-2023_DTP-up_microarray	DUSP1	human
moghal-2023_DTP-up_microarray	DUSP14	human
moghal-2023_DTP-up_microarray	DUSP3	human
moghal-2023_DTP-up_microarray	DUSP5	human
moghal-2023_DTP-up_microarray	DUXAP3	human
moghal-2023_DTP-up_microarray	DYRK2	human
moghal-2023_DTP-up_microarray	ECGF1	human
moghal-2023_DTP-up_microarray	ECM1	human
moghal-2023_DTP-up_microarray	EDN1	human
moghal-2023_DTP-up_microarray	EEF1A2	human
moghal-2023_DTP-up_microarray	EFCAB4A	human
moghal-2023_DTP-up_microarray	EFEMP1	human
moghal-2023_DTP-up_microarray	EGFL6	human
moghal-2023_DTP-up_microarray	EGR1	human
moghal-2023_DTP-up_microarray	EGR2	human
moghal-2023_DTP-up_microarray	EHD1	human
moghal-2023_DTP-up_microarray	EHD4	human
moghal-2023_DTP-up_microarray	ELF5	human
moghal-2023_DTP-up_microarray	EMP1	human
moghal-2023_DTP-up_microarray	EPHX1	human
moghal-2023_DTP-up_microarray	EPS8L1	human
moghal-2023_DTP-up_microarray	ERBB2	human
moghal-2023_DTP-up_microarray	ERRFI1	human
moghal-2023_DTP-up_microarray	EXT1	human
moghal-2023_DTP-up_microarray	EZR	human
moghal-2023_DTP-up_microarray	FAM115A	human
moghal-2023_DTP-up_microarray	FAM167A	human
moghal-2023_DTP-up_microarray	FAM3D	human
moghal-2023_DTP-up_microarray	FBLN5	human
moghal-2023_DTP-up_microarray	FHL2	human
moghal-2023_DTP-up_microarray	FKBP1A	human
moghal-2023_DTP-up_microarray	FLJ10986	human
moghal-2023_DTP-up_microarray	FLJ36131	human
