gene	First_line	Resistant	Second_line	LNCaP_WM-7d	LNCaP95	LNCaP95_Enz-7d	LNCaP95_WM-7d
ABL1	0.591618035432557	0.38649070820907194	0.1582591948646151	0.591618035432557	0.38649070820907194	0.2324547577633127	0.08406363196591748
AHR	-0.2909095755194667	-0.033542213177222946	0.1297709347925498	-0.2909095755194667	-0.033542213177222946	0.1508387280263761	0.10870314155872352
AIP	-0.3231048245527641	-0.15944683763384698	-0.028990979789861523	-0.3231048245527641	-0.15944683763384698	-0.031129831403382574	-0.026852128176340473
AIRE	0.7132180307497873	0.5945205464231804	0.09688115067563152	0.7132180307497873	0.5945205464231804	0.0992872601060717	0.09447504124519135
AP1	0.7819140246633504	0.5812132999454366	-0.09720987031955353	0.7819140246633504	0.5812132999454366	-0.13417000423467562	-0.06024973640443143
APEX1	-0.11515185080806445	0.046068775410210594	0.03838761481711911	-0.11515185080806445	0.046068775410210594	0.16382199740686088	-0.08704676777262266
AR	0.2942237069627316	0.3355633557547675	0.17905846283765614	0.2942237069627316	0.3355633557547675	0.24485110234050644	0.11326582333480584
ARID1A	0.5228987478097757	1.2004213290801358	-0.007069711558284508	0.5228987478097757	1.2004213290801358	0.02813554458409362	-0.042274967700662636
ARID3A	0.038118464831427	0.24898148926721392	-0.0023649362313319863	0.038118464831427	0.24898148926721392	0.123022225617246	-0.12775209807990998
ARID3B	-0.16123148230512657	-0.08751570866453602	0.11300544728298798	-0.16123148230512657	-0.08751570866453602	0.18367378532608125	0.04233710923989471
ARID4A	-0.06596561714908458	-0.16482921219468086	0.12622046987279023	-0.06596561714908458	-0.16482921219468086	0.16946960392703722	0.08297133581854327
ARID4B	-0.005560237442740645	0.12525228451282933	-0.021260054226602598	-0.005560237442740645	0.12525228451282933	-0.015627961686938363	-0.026892146766266833
ARID5B	-0.16946100835879946	-0.2303183223363428	-0.026281255747203358	-0.16946100835879946	-0.2303183223363428	-0.027369331495289084	-0.025193179999117632
ARNT	0.10218553794159545	-0.07541570613014267	-0.05200790312774163	0.10218553794159545	-0.07541570613014267	-0.03838352448509985	-0.06563228177038341
ARX	-0.11151903143753705	-0.5029676087829568	0.09570144580360906	-0.11151903143753705	-0.5029676087829568	0.1514994755611596	0.039903416046058515
