target_id	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	b	pa_up	pa_down
MGST1	13	35.08101031510509	1.0669601957487092e-8	1.926610025463444e-4	1.2404586557529973	FALSE	TRUE
GABRE	7	22.7399952647341	3.561664409504101e-8	3.215648712120777e-4	1.4291526628733144	FALSE	FALSE
PLCH2	9	31.197429449423698	1.3180343128939472e-7	7.933248529308668e-4	1.6540344369683362	FALSE	FALSE
IGKV1-17	2	8.806681489884811	2.398750526028189e-7	0.0010828559562122751	2.9894056031848355	FALSE	FALSE
HLA-DOB	3	5.487818754341565	7.097240310529177e-7	0.0016216173256590927	0.5159138562221193	FALSE	FALSE
CCL28	3	13.839004538600804	7.184437395620946e-7	0.0016216173256590927	1.726865092633231	FALSE	FALSE
MRPL21	6	24.146294046768993	5.508278141250321e-7	0.0016216173256590927	1.1713846093188711	FALSE	TRUE
APOD	5	24.188246549518915	6.467089641014094e-7	0.0016216173256590927	1.6375340965090768	FALSE	FALSE
TRIM27	14	45.08699977452501	9.101288729764083e-7	0.0018260218954816673	0.47266949797627095	FALSE	FALSE
LTO1	9	30.89826818907546	1.297900230695909e-6	0.0023436184465676028	1.0331150968396163	FALSE	FALSE
NEU3	6	17.257827423549454	1.5573963837051736e-6	0.002556536954596756	1.1824630260867428	FALSE	FALSE
ESPN	12	41.79678513773292	2.5444208951469274e-6	0.0035041939523992923	1.4434937722514065	FALSE	FALSE
CHKA	7	28.813503668417674	2.516756567767405e-6	0.0035041939523992923	0.9833543857443929	FALSE	FALSE
GDPD5	11	35.744850265517705	2.716880729555856e-6	0.0035041939523992923	1.0781886237285243	FALSE	FALSE
LENG8	13	54.44758829948229	3.297522390980663e-6	0.003969557454262522	-0.6292443007582126	FALSE	FALSE
ATP1A4	4	9.908918953789303	3.678382237557234e-6	0.004151284253973186	-1.2725137616098923	FALSE	FALSE
BEND7	5	14.95683800400423	5.222618444453588e-6	0.005547342426558732	1.1826078598325778	FALSE	FALSE
HLA-DQB1	9	27.620129225567364	6.194043688155184e-6	0.0062136581598343415	-1.389824688085146	FALSE	FALSE
FER1L4	10	36.04164809489709	7.453170173990221e-6	0.0070832575700916535	1.2067698970214809	FALSE	FALSE
GULP1	9	24.46902052061025	8.870057464265917e-6	0.008008331381612483	1.2329755474808357	FALSE	FALSE
AP001992.1	4	11.75363199561228	9.794763824046052e-6	0.008422097636704741	1.286402523493039	FALSE	FALSE
PLEKHS1	8	25.040442318655177	1.0560462650434033e-5	0.008667739730858515	1.5736518483825706	FALSE	FALSE
IGHV4-4	2	8.29699629744695	1.1425038710451563e-5	0.008969648869331473	3.3359653872661954	FALSE	FALSE
ABCC11	4	12.283889768357803	1.2365499199171584e-5	0.00930349245997672	2.1333858005837514	FALSE	FALSE
VARS2	15	35.63474933039398	1.6513149000393166e-5	0.011927117260003976	1.1271462989374286	FALSE	FALSE
HLA-C	17	54.35249712919167	1.9271958039842288e-5	0.013384374858670469	0.04953456140225589	TRUE	FALSE
IGKV1-6	2	6.136127260883496	2.4168811837010536e-5	0.01616356427188516	2.606680516164089	FALSE	FALSE
TESMIN	7	25.368916729858263	2.6684127988859952e-5	0.017208403539101576	1.2468313779335405	FALSE	FALSE
IGHMBP2	6	17.254067324033237	2.8617031624802695e-5	0.017818542760312493	1.243514526813314	FALSE	FALSE
IGHV3-6	2	3.739231768015825	3.1368167939609744e-5	0.018081504712089722	2.2748001066089647	FALSE	FALSE
TAPBP	15	52.53462150008777	3.1069385285377255e-5	0.018081504712089722	-0.3301413102724816	FALSE	FALSE
RAD9A	9	37.877020753653575	3.204342641562115e-5	0.018081504712089722	0.91757548873955	FALSE	FALSE
CYP4F8	4	12.505318139774111	3.3213421029498546e-5	0.018173780106959248	2.1297068613205807	FALSE	FALSE
IGHV3-13	2	5.474978116754641	3.807345640675675e-5	0.02022036477461196	2.427009200456466	FALSE	FALSE
TNS4	3	10.51644340711235	4.1980764549210794e-5	0.021658476156145693	1.6850824707391463	FALSE	FALSE
IGHJ3P	2	4.942619453299383	6.014703341480547e-5	0.030168749510309508	2.38752068210254	FALSE	FALSE
IGKV1-16	2	8.63955256577745	6.499112817972165e-5	0.031480586322571204	2.820567931825635	FALSE	FALSE
ADGRG1	9	30.555092553430182	6.624922635308777e-5	0.031480586322571204	1.1710184988838033	FALSE	FALSE
IGHV3-63	2	3.3750814829222757	6.982993389564852e-5	0.032331259393685266	2.0744666863306307	FALSE	FALSE
RARRES1	4	13.5396518625549	8.353625050199237e-5	0.037710351882861905	1.4913125800304001	FALSE	FALSE
THAP12	5	21.383086294453708	8.704556874654256e-5	0.03833614231356876	0.9138971763657566	FALSE	FALSE
GGT1	10	25.452968119751382	8.948320729315627e-5	0.038471387478393404	1.1563680308891744	FALSE	FALSE
UBD	4	10.519097802331899	9.846424879385983e-5	0.04040838501069834	2.1850872372161927	FALSE	FALSE
MAB21L4	2	4.021763188040698	9.804369576089662e-5	0.04040838501069834	3.1493431057679757	FALSE	FALSE
SMN2	7	15.92683906047511	1.0505937175310673e-4	0.041240371211866265	1.0014840967145646	FALSE	FALSE
IGHV3-11	2	8.606105794137878	1.033776138985789e-4	0.041240371211866265	2.7608702949698087	FALSE	FALSE
IGKV1-8	2	3.47309076331499	1.1074530096456148e-4	0.04254740211738482	2.065188375861699	FALSE	FALSE
BSND	1	2.1416326918164748	1.1734405553399116e-4	0.0441433668911933	-2.1375397279395445	FALSE	FALSE
INAVA	3	8.108375084817176	1.368334740361968e-4	0.05042453144227766	2.265784034734709	FALSE	FALSE
