gs_name	gene	species
zhao-2020_DTP-up_GSE153183	C1orf116	human
zhao-2020_DTP-up_GSE153183	C1orf145	human
zhao-2020_DTP-up_GSE153183	C1orf198	human
zhao-2020_DTP-up_GSE153183	C1QL1	human
zhao-2020_DTP-up_GSE153183	C1R	human
zhao-2020_DTP-up_GSE153183	C1RL	human
zhao-2020_DTP-up_GSE153183	C1S	human
zhao-2020_DTP-up_GSE153183	C20orf195	human
zhao-2020_DTP-up_GSE153183	C22orf23	human
zhao-2020_DTP-up_GSE153183	C22orf46	human
zhao-2020_DTP-up_GSE153183	C2CD3	human
zhao-2020_DTP-up_GSE153183	C2orf54	human
zhao-2020_DTP-up_GSE153183	C2orf72	human
zhao-2020_DTP-up_GSE153183	C4BPB	human
zhao-2020_DTP-up_GSE153183	C6orf132	human
zhao-2020_DTP-up_GSE153183	C8orf31	human
zhao-2020_DTP-up_GSE153183	C9orf172	human
zhao-2020_DTP-up_GSE153183	C9orf3	human
zhao-2020_DTP-up_GSE153183	CA5BP1	human
zhao-2020_DTP-up_GSE153183	CAB39L	human
zhao-2020_DTP-up_GSE153183	CALCOCO1	human
zhao-2020_DTP-up_GSE153183	CALD1	human
zhao-2020_DTP-up_GSE153183	CAPN5	human
zhao-2020_DTP-up_GSE153183	CBLN3	human
zhao-2020_DTP-up_GSE153183	CCDC183-AS1	human
zhao-2020_DTP-up_GSE153183	CCDC28A	human
zhao-2020_DTP-up_GSE153183	CCDC64	human
zhao-2020_DTP-up_GSE153183	CCDC80	human
zhao-2020_DTP-up_GSE153183	CCL28	human
zhao-2020_DTP-up_GSE153183	CCNG2	human
zhao-2020_DTP-up_GSE153183	CD24	human
zhao-2020_DTP-up_GSE153183	CD47	human
zhao-2020_DTP-up_GSE153183	CD55	human
zhao-2020_DTP-up_GSE153183	CD59	human
zhao-2020_DTP-up_GSE153183	CD82	human
zhao-2020_DTP-up_GSE153183	CDA	human
zhao-2020_DTP-up_GSE153183	CDC42EP2	human
zhao-2020_DTP-up_GSE153183	CDC42EP3	human
zhao-2020_DTP-up_GSE153183	CDKL5	human
zhao-2020_DTP-up_GSE153183	CDKN2B	human
zhao-2020_DTP-up_GSE153183	CDR2L	human
zhao-2020_DTP-up_GSE153183	CEBPA	human
zhao-2020_DTP-up_GSE153183	CEBPD	human
zhao-2020_DTP-up_GSE153183	CELSR3	human
zhao-2020_DTP-up_GSE153183	CERCAM	human
zhao-2020_DTP-up_GSE153183	CERS4	human
zhao-2020_DTP-up_GSE153183	CES2	human
zhao-2020_DTP-up_GSE153183	CES4A	human
zhao-2020_DTP-up_GSE153183	CGN	human
zhao-2020_DTP-up_GSE153183	CH17-360D5.1	human
zhao-2020_DTP-up_GSE153183	CHD6	human
zhao-2020_DTP-up_GSE153183	CHMP1B	human
zhao-2020_DTP-up_GSE153183	CHPF	human
zhao-2020_DTP-up_GSE153183	CHRD	human
zhao-2020_DTP-up_GSE153183	CITED2	human
zhao-2020_DTP-up_GSE153183	CITED4	human
zhao-2020_DTP-up_GSE153183	CLCNKA	human
zhao-2020_DTP-up_GSE153183	CLDN1	human
zhao-2020_DTP-up_GSE153183	CLDN23	human
zhao-2020_DTP-up_GSE153183	CLDN3	human
zhao-2020_DTP-up_GSE153183	CLDN4	human
zhao-2020_DTP-up_GSE153183	CLEC7A	human
zhao-2020_DTP-up_GSE153183	CLIC3	human
zhao-2020_DTP-up_GSE153183	CLIC5	human
zhao-2020_DTP-up_GSE153183	CLIP2	human
zhao-2020_DTP-up_GSE153183	CLIP3	human
zhao-2020_DTP-up_GSE153183	CLIP4	human
zhao-2020_DTP-up_GSE153183	CLN3	human
zhao-2020_DTP-up_GSE153183	CLSTN3	human
zhao-2020_DTP-up_GSE153183	CLU	human
zhao-2020_DTP-up_GSE153183	CNFN	human
zhao-2020_DTP-up_GSE153183	CNGB1	human
zhao-2020_DTP-up_GSE153183	COL12A1	human
zhao-2020_DTP-up_GSE153183	COMMD3-BMI1	human
zhao-2020_DTP-up_GSE153183	CPAMD8	human
zhao-2020_DTP-up_GSE153183	CPM	human
zhao-2020_DTP-up_GSE153183	CPNE8	human
zhao-2020_DTP-up_GSE153183	CPT1B	human
zhao-2020_DTP-up_GSE153183	CRAT	human
zhao-2020_DTP-up_GSE153183	CREB3L2	human
zhao-2020_DTP-up_GSE153183	CREBRF	human
zhao-2020_DTP-up_GSE153183	CRELD1	human
zhao-2020_DTP-up_GSE153183	CRIM1	human
zhao-2020_DTP-up_GSE153183	CRIP1	human
zhao-2020_DTP-up_GSE153183	CRIP2	human
zhao-2020_DTP-up_GSE153183	CROT	human
zhao-2020_DTP-up_GSE153183	CRTAP	human
zhao-2020_DTP-up_GSE153183	CRY1	human
zhao-2020_DTP-up_GSE153183	CRYAB	human
zhao-2020_DTP-up_GSE153183	CSF2RB	human
